deltat,AcX,AcY,AcZ,GyX,GyY,GyZ,
21,-8604,-7004,10624,-4048,-385,4096,
20,-7800,-7280,12136,-4064,395,4079,
25,-8888,-7076,12068,-4064,-1272,4388,
20,-10268,-6496,12392,-4064,-1752,4952,
22,-8772,-6924,13584,-4080,-123,5138,
20,-8992,-6760,14328,-4032,-534,2912,
22,-10608,-6468,13504,-4064,-1321,2043,
20,-9732,-6680,13928,-4064,494,2323,
21,-9716,-6792,14296,-4080,176,-725,
20,-9824,-6656,13788,-4080,535,-1498,
21,-10236,-6792,13416,-4080,-37,-2814,
20,-9932,-6832,13256,-4080,-771,-3208,
22,-9184,-7256,13116,-4064,-271,-3842,
20,-9012,-7408,12680,-4064,99,-4757,
21,-9492,-7220,11696,-4096,-283,-4431,
23,-8340,-7412,11952,-4080,437,-3646,
21,-7864,-7528,11648,-4048,-213,-4097,
20,-8524,-7364,10340,-4048,-328,-3277,
22,-8276,-7272,10388,-4080,283,-1026,
20,-7924,-7092,11032,-4048,-638,9,
20,-8332,-6796,10628,-4048,-582,1135,
21,-8672,-6700,11092,-4048,-21,2306,
20,-8296,-6824,11524,-4048,-39,3616,
21,-8956,-6540,11212,-4080,750,3394,
20,-9456,-6556,12464,-4080,489,4210,
22,-9324,-6576,12832,-4064,-968,4837,
20,-8976,-6820,12956,-4080,417,3692,
21,-9828,-6632,13936,-4064,250,2835,
23,-10300,-6512,13640,-4064,-625,1802,
21,-9700,-6796,13856,-4096,-303,1850,
20,-9264,-6864,13924,-4064,153,160,
21,-9556,-6760,13976,-4064,391,-1644,
21,-10148,-6660,13652,-4032,38,-2742,
21,-10008,-6656,12724,-4064,-517,-2757,
21,-9416,-6816,12632,-4048,61,-3012,
21,-9272,-6672,12364,-4064,-16,-3585,
21,-8316,-6904,12232,-4064,419,-3262,
21,-8568,-6832,11480,-4064,208,-3897,
20,-9256,-6696,10944,-4064,-352,-2199,
21,-7684,-7120,11312,-4064,-407,282,
20,-7656,-6892,11096,-4032,-476,-923,
24,-8616,-6492,10712,-4064,1498,1120,
20,-7724,-6696,11960,-4064,-270,2149,
22,-8240,-6568,11904,-4064,-1725,2139,
22,-9216,-6304,11428,-4080,-307,3771,
21,-8372,-6524,12988,-4064,492,3534,
20,-8692,-6536,13116,-4048,-1032,3112,
21,-9292,-6456,13100,-4048,162,2316,
20,-8888,-6796,13752,-4096,1157,2052,
21,-9040,-7020,13228,-4032,592,660,
21,-9244,-7076,13704,-4064,-115,749,
21,-9300,-7160,13956,-4032,-228,-577,
20,-9464,-7148,13100,-4064,748,-1499,
21,-10472,-7224,13120,-4080,-137,-1925,
23,-10272,-7124,12764,-4048,-690,-457,
21,-9172,-7096,13360,-4080,148,-1863,
21,-10740,-6744,12616,-4048,-1342,-2712,
21,-10528,-6552,11624,-4096,-684,-1059,
20,-8272,-6808,13292,-4032,68,-1475,
21,-9136,-6580,12556,-4064,-1498,-3582,
20,-9808,-6200,10260,-4064,474,-1146,
22,-7720,-6448,12808,-4080,1080,-1419,
20,-7532,-6396,12004,-4080,-45,-3086,
21,-9348,-6152,10848,-4016,158,-3108,
21,-8488,-6188,10468,-4064,2005,-331,
22,-6940,-6404,12088,-4048,650,-361,
20,-8700,-6120,11112,-4080,-1420,-784,
24,-8968,-5996,10728,-4064,470,1842,
20,-8092,-6168,12312,-4032,-699,2345,
21,-9432,-6112,11316,-4048,-1764,2751,
20,-9516,-6016,11972,-4064,207,4348,
21,-8720,-6376,13400,-4048,342,3306,
20,-10344,-6472,12864,-4064,-530,2038,
20,-11092,-6460,12080,-4048,712,3979,
21,-9128,-7020,13872,-4080,1094,3387,
20,-9200,-7080,14088,-4064,-165,639,
21,-10744,-7028,13248,-4048,-1184,-25,
20,-9408,-7152,13792,-4064,311,240,
21,-9384,-7248,13972,-4048,323,-2548,
20,-10848,-6736,12672,-4064,-942,-2219,
24,-9724,-6676,12044,-4096,1437,-2000,
20,-8848,-6652,13148,-4048,1021,-3685,
21,-9448,-6424,11860,-4064,-1523,-2615,
20,-8600,-6384,11440,-4048,-107,-1043,
21,-7888,-6272,12288,-4064,-442,-1598,
20,-8304,-5988,11664,-4112,-1185,-884,
21,-9284,-5708,11532,-4064,-427,-520,
20,-9496,-5744,11208,-4064,-77,1066,
21,-8424,-6056,12228,-4032,-90,2109,
20,-9076,-6076,12304,-4048,-1074,2065,
21,-9676,-6040,11788,-4032,-353,2691,
20,-9188,-6384,13012,-4032,553,2574,
21,-9252,-6552,13356,-4064,-432,1792,
23,-10500,-6640,12692,-4032,-793,1454,
23,-9992,-6940,13140,-4064,-311,1823,
20,-9476,-7064,13396,-4048,358,-3,
21,-9520,-6960,13316,-4048,680,-1233,
20,-9784,-6920,13160,-4048,-428,-1478,
21,-9828,-6768,12512,-4064,-766,-1354,
21,-9576,-6764,12408,-4032,-462,-1940,
21,-9364,-6628,12360,-4064,215,-2463,
20,-8884,-6480,12132,-4032,-357,-2829,
21,-8708,-6648,12068,-4048,-973,-2293,
20,-8824,-6496,11240,-4048,-107,-2044,
21,-8488,-6484,12256,-4080,-234,-664,
21,-8780,-6196,11516,-4048,-1135,-522,
24,-9384,-6044,11152,-4064,80,55,
20,-8480,-6320,11928,-4048,311,1522,
21,-8376,-6132,12180,-4064,-460,911,
20,-9208,-6048,11980,-4032,-349,1642,
21,-9420,-6032,11852,-4048,123,2096,
21,-8804,-6280,12988,-4064,-71,2373,
21,-9392,-6216,12760,-4048,-767,1934,
20,-9392,-6160,12756,-4048,563,1861,
21,-9088,-6488,13488,-4080,161,835,
20,-10488,-6376,12532,-4048,-184,-293,
20,-9964,-6772,12976,-4048,411,974,
22,-9072,-7060,13440,-4048,-407,-147,
20,-9644,-7084,12932,-4048,-17,-1667,
21,-10352,-7080,12256,-4048,272,-1191,
23,-8840,-7312,12708,-4064,214,-1102,
21,-9308,-7076,12760,-4064,-501,-2611,
20,-9796,-6936,11548,-4032,-947,-1078,
21,-8764,-6820,12364,-4032,-230,-695,
22,-8996,-6448,12396,-4032,-597,-1748,
21,-9952,-6204,11252,-4048,-548,85,
20,-8572,-6080,12196,-4032,-248,756,
21,-8336,-6048,12504,-4080,-601,-313,
20,-9224,-5708,12156,-4032,-906,-815,
22,-9580,-5672,12036,-4080,6,-482,
20,-9596,-6076,11572,-4032,-220,437,
21,-8936,-6232,12300,-4064,-449,1080,
20,-8856,-6420,12208,-4032,438,1071,
24,-9400,-6712,12264,-4032,-413,1360,
20,-9576,-6764,12504,-4064,1,1481,
21,-9704,-6908,12444,-4064,135,1533,
20,-9596,-7100,12852,-4032,169,979,
22,-9348,-7140,12812,-4064,105,822,
20,-9704,-7180,12772,-4032,-561,1,
21,-9640,-6912,12396,-4048,-1455,-483,
20,-9004,-7144,13368,-4064,-2258,-93,
21,-9432,-7012,12128,-4064,-1444,-1061,
20,-9020,-6488,11016,-4032,2024,-338,
21,-9080,-6380,12580,-4032,2380,-1906,
21,-8744,-6216,11808,-4096,-556,-1223,
21,-8116,-5984,12296,-4064,-430,-1472,
23,-8480,-5860,12472,-4032,-2184,-1762,
21,-8936,-5784,11384,-4016,-976,-1063,
20,-9152,-5908,11776,-4048,-604,-1310,
21,-9444,-5988,11776,-4048,1547,-437,
21,-9200,-6168,11952,-4048,1487,619,
21,-8588,-6728,12300,-4048,869,381,
20,-8348,-6840,12032,-4064,664,605,
21,-9192,-7072,12240,-4064,-186,408,
21,-9280,-7068,12236,-4000,-256,1768,
22,-9352,-7196,12292,-4016,670,991,
